experiment,relative_path,disposition,referenced,has_checkpoint,has_structured_result,file_count,size_bytes,reason
airfogsim_v0,代码\artifacts\experiments\airfogsim_v0,retain,true,true,true,3488,1603973299,referenced by active code or documentation
pi_jwm_609_group_meeting,代码\artifacts\experiments\pi_jwm_609_group_meeting,retain,true,false,true,2,44828,referenced by active code or documentation
pi_jwm_v10_action_aligned_20260619,代码\artifacts\experiments\pi_jwm_v10_action_aligned_20260619,retain,true,true,true,12,2895864,referenced by active code or documentation
pi_jwm_v10_fair_first_step_gpu_20260620,代码\artifacts\experiments\pi_jwm_v10_fair_first_step_gpu_20260620,retain,false,false,true,5,970347,retained evidence or conservative default
pi_jwm_v10_policy_bridge_codebook_gpu_20260620,代码\artifacts\experiments\pi_jwm_v10_policy_bridge_codebook_gpu_20260620,retain,false,false,true,19,57698,retained evidence or conservative default
pi_jwm_v10_policy_bridge_codebook_refine_gpu_20260620,代码\artifacts\experiments\pi_jwm_v10_policy_bridge_codebook_refine_gpu_20260620,retain,false,false,true,21,63974,retained evidence or conservative default
pi_jwm_v10_policy_bridge_decoder_gpu_20260620,代码\artifacts\experiments\pi_jwm_v10_policy_bridge_decoder_gpu_20260620,retain,false,false,true,11,33814,retained evidence or conservative default
pi_jwm_v10_policy_bridge_gpu_20260620,代码\artifacts\experiments\pi_jwm_v10_policy_bridge_gpu_20260620,retain,true,true,true,7,499967,referenced by active code or documentation
pi_jwm_v10_policy_bridge_value_decoder_gpu_20260620,代码\artifacts\experiments\pi_jwm_v10_policy_bridge_value_decoder_gpu_20260620,retain,false,false,true,6,17508,retained evidence or conservative default
pi_jwm_v10_policy_bridge_value_scale_gpu_20260620,代码\artifacts\experiments\pi_jwm_v10_policy_bridge_value_scale_gpu_20260620,retain,false,false,true,8,23113,retained evidence or conservative default
pi_jwm_v10_policy_bridge_value_specialist_gpu_20260620,代码\artifacts\experiments\pi_jwm_v10_policy_bridge_value_specialist_gpu_20260620,retain,false,false,true,5,13951,retained evidence or conservative default
pi_jwm_v10_policy_bridge_value_sweep_gpu_20260620,代码\artifacts\experiments\pi_jwm_v10_policy_bridge_value_sweep_gpu_20260620,retain,false,false,true,11,34034,retained evidence or conservative default
pi_jwm_v10_policy_bridge_world_aware_scale_gpu_20260620,代码\artifacts\experiments\pi_jwm_v10_policy_bridge_world_aware_scale_gpu_20260620,retain,false,false,true,11,33865,retained evidence or conservative default
pi_jwm_v11_activity_f1_backfill_20260622,代码\artifacts\experiments\pi_jwm_v11_activity_f1_backfill_20260622,retain,false,false,true,2,7643,retained evidence or conservative default
